Ano Modelo,Cor,Código FIPE,Grupo,Modelo,Montadora,Pátio de Veículos,Situação,Unidade de Operação,Valor FIPE,Idade,Categoria
2025,BRANCA,001461-3,TERCEIRIZAÇÃO DE FROTAS,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,BRANCA,001461-3,TERCEIRIZAÇÃO DE FROTAS,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,BRANCA,001461-3,TERCEIRIZAÇÃO DE FROTAS,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,BRANCA,001461-3,TERCEIRIZAÇÃO DE FROTAS,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,VERMELHA,001494-0,KM FLEXÍVEL,ARGO DRIVE 1.0 6V FLEX,FIAT,,LOCADO,KAPÔ,79520,1,AUTOMOVEL
2025,VERMELHA,001494-0,KAPÔ GOLD - 3 MESES,ARGO DRIVE 1.0 6V FLEX,FIAT,,LOCADO,KAPÔ,79520,1,AUTOMOVEL
2025,BRANCA,001494-0,KM FLEXÍVEL,ARGO DRIVE 1.0 6V FLEX,FIAT,,LOCADO,KAPÔ,79520,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - KAPO,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
2025,VERMELHA,001494-0,KAPÔ GOLD - 3 MESES,ARGO DRIVE 1.0 6V FLEX,FIAT,,LOCADO,KAPÔ,79520,1,AUTOMOVEL
2025,BRANCA,001461-3,KAPÔ GOLD - 3 MESES,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,BRANCA,001461-3,KAPÔ PRÓPRIO,MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,,LOCADO,KAPÔ,65690,1,AUTOMOVEL
2025,PRETA,095011-4,ASSINATURA - PRIMAVIA,KING GS 1.5 16V AUT. (HIBRIDO),BYD,,LOCADO,KAPÔ,157022,1,AUTOMOVEL
